epsilon,QPA_0
0.0,0.994818613585819
0.0025,0.9675102460749082
0.005,0.9411603858457886
0.0075,0.9157368581406952
0.01,0.8912085191406074
0.0125,0.8675452245324444
0.015,0.8447177989838489
0.0175,0.8226980065010764
0.02,0.8014585216457324
0.0225,0.7809729015871915
0.025,0.7612155589677552
0.0275,0.7421617355581145
0.03,0.7237874766817809
0.0325,0.7060696063870577
0.035,0.6889857033462142
0.0375,0.6725140774614699
0.04,0.6566337471586697
0.0425,0.6413244173492864
0.045,0.6265664580424172
0.0475,0.6123408835884797
0.05,0.5986293325373049
0.0525,0.5854140480933336
0.055,0.5726778591511282
0.0575,0.5604041618951945
0.06,0.5485769019480898
0.0625,0.5371805570515641
0.065,0.5262001202654815
0.0675,0.5156210836702252
0.07,0.5054294225581901
0.0725,0.4956115801004319
0.075,0.4861544524752115
0.0775,0.477045374445138
0.08,0.4682721053702392
0.0825,0.4598228156443977
0.085,0.4516860735432109
0.0875,0.4438508324714476
0.09,0.4363064185984754
0.0925,0.4290425188708099
0.095,0.4220491693906507
0.0975,0.4153167441500593
0.1,0.4088359441102732
