epsilon,QPA_2
0.0,0.1870318687489737
0.0025,0.1011165575741621
0.00275,0.0945557051082797
0.003,0.0899874617916539
0.00325,0.0846479819487543
0.0035,0.0801218787643954
0.00375,0.0750984283447778
0.004,0.0716261009001592
0.00425,0.0679948380471066
0.0045,0.064390139745984
0.00475,0.0617387471574555
0.00025,0.1755982076654308
0.005,0.0578886572269532
0.00525,0.0551898768085109
0.0055,0.0522115790514091
0.00575,0.0494175743281374
0.006,0.0483230035164404
0.00625,0.0459539724371137
0.0065,0.0432999293622245
0.00675,0.0413898241557456
0.007,0.040196544201175
0.00725,0.0380814718851137
0.0005,0.1646924431731344
0.0075,0.0367655677097683
0.00775,0.0360639233184322
0.008,0.0343139525617081
0.00825,0.0338698220422156
0.0085,0.0334522374049729
0.00875,0.0323786488544752
0.009,0.0324361455029567
0.00925,0.0312603060523117
0.0095,0.0317064414215115
0.00975,0.0314731372704236
0.00075,0.1546252422913743
0.01,0.0317170379064373
0.001,0.145120638411144
0.00125,0.1366156741278945
0.0015,0.1280724498933289
0.00175,0.1208254729311715
0.002,0.1124996210904089
0.00225,0.1065418171744196
