lambda,fidelity
0.0,1.0
0.041666666666666664,0.99238
0.08333333333333333,0.98245
0.125,0.96955
0.16666666666666666,0.95527
0.20833333333333331,0.93684
0.25,0.91624
0.29166666666666663,0.89352
0.3333333333333333,0.86543
0.375,0.83943
0.41666666666666663,0.80504
0.4583333333333333,0.77131
0.5,0.7378
0.5416666666666666,0.70133
0.5833333333333333,0.66325
0.625,0.62452
0.6666666666666666,0.58477
0.7083333333333333,0.53863
0.75,0.49839
0.7916666666666666,0.45479
0.8333333333333333,0.41318
0.875,0.37204
0.9166666666666666,0.32928
0.9583333333333333,0.28948
1.0,0.2518
