lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.99174
0.08333333333333333,0.98271
0.125,0.97072
0.16666666666666666,0.95823
0.20833333333333331,0.9442
0.25,0.92864
0.29166666666666663,0.91335
0.3333333333333333,0.89644
0.375,0.87613
0.41666666666666663,0.85548
0.4583333333333333,0.83499
0.5,0.81104
0.5416666666666666,0.78991
0.5833333333333333,0.76309
0.625,0.73992
0.6666666666666666,0.71707
0.7083333333333333,0.69049
0.75,0.66253
0.7916666666666666,0.63708
0.8333333333333333,0.60992
0.875,0.5826
0.9166666666666666,0.55503
0.9583333333333333,0.53016
1.0,0.49877
