lambda,fidelity_n5
0.0,1.0
0.041666666666666664,0.99516
0.08333333333333333,0.98847
0.125,0.98178
0.16666666666666666,0.97206
0.20833333333333331,0.96125
0.25,0.94827
0.29166666666666663,0.93475
0.3333333333333333,0.92149
0.375,0.90128
0.41666666666666663,0.88264
0.4583333333333333,0.86251
0.5,0.84028
0.5416666666666666,0.8169
0.5833333333333333,0.79405
0.625,0.76891
0.6666666666666666,0.74115
0.7083333333333333,0.71474
0.75,0.68389
0.7916666666666666,0.65588
0.8333333333333333,0.62568
0.875,0.59355
0.9166666666666666,0.56576
0.9583333333333333,0.53209
1.0,0.50113
