Trotter Step,Fidelity
1,0.9907795162556751
2,0.9814029862197865
3,0.9729144253995097
4,0.9639601895364049
5,0.9545059435957066
6,0.945543886388587
7,0.9367114731880721
8,0.9287576405427134
9,0.9202971209746342
10,0.9105463796007286
11,0.9026717600221448
12,0.8952521205418154
13,0.8873709161610897
14,0.8777187759271745
15,0.8714585538556491
16,0.863442113071164
17,0.8557148732916711
18,0.8480722260554139
19,0.8380451708243525
20,0.8334809857917469
