epsilon,steps,fidelity,shots
0.0,2,0.9999999999999256,20000
0.0,4,1.0000000000000542,20000
0.0,6,0.99999999999995,20000
0.0,8,0.9999999999998916,20000
0.0,10,1.0000000000000022,20000
0.0,12,1.0000000000000104,20000
0.0,14,1.0000000000000129,20000
0.0,16,1.00000000000001,20000
0.0,18,0.9999999999999584,20000
0.0,20,1.000000000000116,20000
0.0005,2,0.9881733030499604,20000
0.0005,4,0.9845321458290394,20000
0.0005,6,0.9786789834579877,20000
0.0005,8,0.973848887428162,20000
0.0005,10,0.9686159972792688,20000
0.0005,12,0.9658097860258352,20000
0.0005,14,0.9590889099366456,20000
0.0005,16,0.956597636109422,20000
0.0005,18,0.9498868197636636,20000
0.0005,20,0.948850226361794,20000
0.001,2,0.9765348086638972,20000
0.001,4,0.9654856561256748,20000
0.001,6,0.9574108838149076,20000
0.001,8,0.9463611010497638,20000
0.001,10,0.9384980767860822,20000
0.001,12,0.9293779154350664,20000
0.001,14,0.9179101353368576,20000
0.001,16,0.9087943180761214,20000
0.001,18,0.895864199692689,20000
0.001,20,0.8863629483852689,20000
0.0015,2,0.9661367259683056,20000
0.0015,4,0.9501872464660862,20000
0.0015,6,0.9346968531181574,20000
0.0015,8,0.9222872405921612,20000
0.0015,10,0.905801714241572,20000
0.0015,12,0.8894963814901187,20000
0.0015,14,0.8730836415876935,20000
0.0015,16,0.8601626408349011,20000
0.0015,18,0.8449456802304336,20000
0.0015,20,0.8301563812901515,20000
0.002,2,0.9541513173821312,20000
0.002,4,0.930584545137964,20000
0.002,6,0.9148564377580082,20000
0.002,8,0.8910246181070016,20000
0.002,10,0.8709487850907975,20000
0.002,12,0.8522884623265904,20000
0.002,14,0.8309831551841161,20000
0.002,16,0.8106064736336968,20000
0.002,18,0.7918105424636638,20000
0.002,20,0.7706044533626067,20000
0.0025,2,0.9406904096126492,20000
0.0025,4,0.9137510093698132,20000
0.0025,6,0.8907969797492402,20000
0.0025,8,0.8625996229547209,20000
0.0025,10,0.8406961761149331,20000
0.0025,12,0.817934367998124,20000
0.0025,14,0.7926577745737236,20000
0.0025,16,0.7640003023792288,20000
0.0025,18,0.739735309525444,20000
0.0025,20,0.7152462898393439,20000
0.003,2,0.9278779014242916,20000
0.003,4,0.8978968675156815,20000
0.003,6,0.8686294484660021,20000
0.003,8,0.8366257049520239,20000
0.003,10,0.8054534597790629,20000
0.003,12,0.7717273952743209,20000
0.003,14,0.7483620943580293,20000
0.003,16,0.7173637861001981,20000
0.003,18,0.6881532665585405,20000
0.003,20,0.6614561955164717,20000
0.0035,2,0.9164801417034038,20000
0.0035,4,0.8791294911988778,20000
0.0035,6,0.8432474288416204,20000
0.0035,8,0.808882141925979,20000
0.0035,10,0.7668651843002616,20000
0.0035,12,0.7384814494481036,20000
0.0035,14,0.7066178598185253,20000
0.0035,16,0.681101009375264,20000
0.0035,18,0.6410922400703917,20000
0.0035,20,0.6122762766015262,20000
0.004,2,0.9058695277984632,20000
0.004,4,0.8628432449761383,20000
0.004,6,0.8203961639685629,20000
0.004,8,0.7780892262403833,20000
0.004,10,0.7418170413069886,20000
0.004,12,0.7034976953541032,20000
0.004,14,0.667548800657223,20000
0.004,16,0.6364087509367854,20000
0.004,18,0.5968405329647785,20000
0.004,20,0.5704773292423652,20000
0.0045,2,0.8942541772149861,20000
0.0045,4,0.8441893328151907,20000
0.0045,6,0.7980603420328657,20000
0.0045,8,0.7544822215800648,20000
0.0045,10,0.7105780801281563,20000
0.0045,12,0.6675256841618605,20000
0.0045,14,0.6270990669979252,20000
0.0045,16,0.5935834268029223,20000
0.0045,18,0.5588701751933122,20000
0.0045,20,0.5283192318661855,20000
0.005,2,0.8779474577509789,20000
0.005,4,0.8195913605677011,20000
0.005,6,0.7730651006927465,20000
0.005,8,0.7262419976442759,20000
0.005,10,0.6767800037327044,20000
0.005,12,0.6301798817432327,20000
0.005,14,0.592196567011216,20000
0.005,16,0.5558396957937635,20000
0.005,18,0.5226640274858064,20000
0.005,20,0.4980062247496442,20000
