epsilon,QPA_1
0.0,0.4038978615782794
0.0025,0.4019842490199561
0.005,0.3999604392509681
0.0075,0.3979461703334552
0.01,0.3958271990009128
0.0125,0.3936508112508189
0.015,0.3913705392330252
0.0175,0.3889989576578609
0.02,0.3866718255952026
0.0225,0.384286020531368
0.025,0.3818397156983442
0.0275,0.3793991880349133
0.03,0.376942463462264
0.0325,0.374600278252451
0.035,0.3719056984914596
0.0375,0.3694080394155921
0.04,0.3668543838622766
0.0425,0.3643240517567151
0.045,0.3617262349461584
0.0475,0.3591282878672387
0.05,0.3566500133746029
0.0525,0.3540667520184008
0.055,0.3514669357142774
0.0575,0.3491405117052883
0.06,0.3466377042467883
0.0625,0.3440572357531409
0.065,0.3413999323693129
0.0675,0.3390804268294475
0.07,0.3365311790282088
0.0725,0.3342675281609456
0.075,0.331727482211702
0.0775,0.3292139532624455
0.08,0.3270642574771086
0.0825,0.3244764552315539
0.085,0.321956566626019
0.0875,0.3197650318433592
0.09,0.317574508051232
0.0925,0.3151343811745628
0.095,0.3128586900017496
0.0975,0.310739559187433
0.1,0.3083948914852478
