epsilon,QPA_1
0.000000,-1.1102230246251563e-16
0.002500,0.4139374375200926
0.002750,0.4334547661819201
0.003000,0.4535098180050059
0.003250,0.4715044082827436
0.003500,0.4846659953983765
0.003750,0.5000243094396025
0.004000,0.5070027194480953
0.004250,0.5163537894019359
0.004500,0.5236979081839701
0.004750,0.5298388673850355
0.000250,0.0609678696748533
0.005000,0.5332665668268386
0.005250,0.533315969387241
0.005500,0.5389226506648266
0.005750,0.5418125248583713
0.006000,0.5451748282535018
0.006250,0.5438726966985507
0.006500,0.5421038614015457
0.006750,0.5407349024721454
0.007000,0.5397028607161417
0.007250,0.5402062024042593
0.000500,0.1174435070992515
0.007500,0.5375011236736476
0.007750,0.5379372968710407
0.008000,0.5380824455772972
0.008250,0.533693298706675
0.008500,0.5333332424619573
0.008750,0.5325704287312123
0.009000,0.5319909004585316
0.009250,0.5320468748865137
0.009500,0.5297848134547891
0.009750,0.5297824239567798
0.000750,0.1701615751055231
0.010000,0.5302498886131531
0.001000,0.214079957603762
0.001250,0.2565518945205913
0.001500,0.2940594463467198
0.001750,0.3311095586225793
0.002000,0.3620659850078211
0.002250,0.3891337609015814
