lambda,fidelity_n5
0.0,1.0
0.041666666666666664,0.99492
0.08333333333333333,0.98873
0.125,0.981565
0.16666666666666666,0.971805
0.20833333333333331,0.9612275
0.25,0.9485675
0.29166666666666663,0.9347425
0.3333333333333333,0.9196775
0.375,0.902225
0.41666666666666663,0.8827475
0.4583333333333333,0.863125
0.5,0.8414075
0.5416666666666666,0.8178125
0.5833333333333333,0.7931
0.625,0.7699225
0.6666666666666666,0.7427875
0.7083333333333333,0.7138325
0.75,0.6855125
0.7916666666666666,0.656765
0.8333333333333333,0.6253925
0.875,0.5938475
0.9166666666666666,0.5625625
0.9583333333333333,0.5296975
1.0,0.5000175
