lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.9919425
0.08333333333333333,0.9824475
0.125,0.9716875
0.16666666666666666,0.958715
0.20833333333333331,0.94459
0.25,0.92931
0.29166666666666663,0.91264
0.3333333333333333,0.8952625
0.375,0.8758525
0.41666666666666663,0.8557125
0.4583333333333333,0.834525
0.5,0.813685
0.5416666666666666,0.7897275
0.5833333333333333,0.76627
0.625,0.7418225
0.6666666666666666,0.715665
0.7083333333333333,0.6901325
0.75,0.6640025
0.7916666666666666,0.63605
0.8333333333333333,0.60991
0.875,0.5832375
0.9166666666666666,0.5549
0.9583333333333333,0.5279725
1.0,0.499935
