epsilon,QPA_1
0.0,0.2489278503061706
0.0025,0.1230371321970351
0.00275,0.1148033977849881
0.003,0.1066887504034974
0.00325,0.0984541866519874
0.0035,0.0934300353005873
0.00375,0.0866926512866735
0.004,0.0810621378581614
0.00425,0.07562798840471
0.0045,0.0708919778888674
0.00475,0.0668769430994158
0.00025,0.2336135858226498
0.005,0.0623872122747406
0.00525,0.0582895181635034
0.0055,0.0556651646394621
0.00575,0.0520074936650002
0.006,0.0488564847823548
0.00625,0.0469470347786854
0.0065,0.0438346273690815
0.00675,0.0421093410895531
0.007,0.0410006320278717
0.00725,0.0393394710824406
0.0005,0.215202258095743
0.0075,0.0373820038814527
0.00775,0.036437774326705
0.008,0.0353383085930107
0.00825,0.0337122640702375
0.0085,0.0332859489284905
0.00875,0.0326260690526007
0.009,0.0323133327566387
0.00925,0.0317323389434714
0.0095,0.0314290252187673
0.00975,0.0313422491805874
0.00075,0.2025166050356406
0.01,0.0304029364163149
0.001,0.1882080337444223
0.00125,0.1762997987118136
0.0015,0.1633909880769463
0.00175,0.152564654111694
0.002,0.1419113919913787
0.00225,0.1313098538019705
