epsilon,QPA_2
0.000000,0.2516364286570473
0.002500,0.4410099808145072
0.002750,0.4537934227561397
0.003000,0.4647126834580109
0.003250,0.4751950910330399
0.003500,0.4847019993663372
0.003750,0.4909156352478345
0.004000,0.4981896688220284
0.004250,0.503492347308921
0.004500,0.5085896612498509
0.004750,0.5147559387514077
0.000250,0.2732436905065079
0.005000,0.5181885273458253
0.005250,0.5221023645101005
0.005500,0.5242533967549443
0.005750,0.527988861428258
0.006000,0.5272394091810383
0.006250,0.5318532288751942
0.006500,0.5307362534523398
0.006750,0.5295598102109155
0.007000,0.5293788704064265
0.007250,0.5335398244336349
0.000500,0.2989969976420513
0.007500,0.5306665767310468
0.007750,0.5327344666928514
0.008000,0.5313263536608293
0.008250,0.5297206209231163
0.008500,0.5312947948611277
0.008750,0.5326176965140198
0.009000,0.5290417059547502
0.009250,0.5314949426911464
0.009500,0.5307930543015317
0.009750,0.5307024427957516
0.000750,0.3212504793166477
0.010000,0.533575199785907
0.001000,0.3414287599091833
0.001250,0.3605703140607956
0.001500,0.3810003255549051
0.001750,0.3962515587889125
0.002000,0.4125696754333835
0.002250,0.4284232251336599
