lambda,QPA_3
0.0,1.0
0.0526315789473684,0.9845185185185222
0.1052631578947368,0.9650259259259331
0.1578947368421052,0.9390481481481551
0.2105263157894736,0.9132814814814841
0.2631578947368421,0.8785666666666628
0.3157894736842105,0.8444333333333229
0.3684210526315789,0.8077407407407231
0.4210526315789473,0.7654518518518358
0.4736842105263157,0.7224592592592457
0.5263157894736842,0.6826888888888799
0.5789473684210527,0.6328370370370335
0.631578947368421,0.5828111111111137
0.6842105263157894,0.5367185185185253
0.7368421052631579,0.49079259259259755
0.7894736842105263,0.44171851851852156
0.8421052631578947,0.39308148148148186
0.894736842105263,0.34369259259258994
0.9473684210526316,0.29633703703703507
1.0,0.2501370370370365
