lambda,QPA_1
0.0,0.9335
0.2499999999999999,0.8123
0.2749999999999999,0.8046
0.3,0.7838
0.3249999999999999,0.7704
0.35,0.7555
0.3749999999999999,0.7323
0.3999999999999999,0.7174
0.425,0.7037
0.4499999999999999,0.6836
0.475,0.6606
0.0249999999999999,0.9269
0.4999999999999999,0.6446
0.5249999999999999,0.6299
0.5499999999999999,0.6108
0.575,0.5877
0.6,0.5679
0.0499999999999999,0.918
0.075,0.9031
0.0999999999999999,0.8957
0.1249999999999999,0.8804
0.15,0.8683
0.175,0.8539
0.1999999999999999,0.8466
0.2249999999999999,0.8291
