lambda,fidelity_n5
0.0,1.0
0.041666666666666664,0.99224
0.08333333333333333,0.98153
0.125,0.9696
0.16666666666666666,0.95427
0.20833333333333331,0.93612
0.25,0.91355
0.29166666666666663,0.89007
0.3333333333333333,0.86444
0.375,0.83676
0.41666666666666663,0.80778
0.4583333333333333,0.77249
0.5,0.73842
0.5416666666666666,0.70171
0.5833333333333333,0.66457
0.625,0.62482
0.6666666666666666,0.57978
0.7083333333333333,0.54356
0.75,0.49698
0.7916666666666666,0.45792
0.8333333333333333,0.4146
0.875,0.37101
0.9166666666666666,0.33091
0.9583333333333333,0.28832
1.0,0.2485
