epsilon,QPA_0
0.0,0.999999999999996
0.0002307692307692,0.9979255037373256
0.0006923076923076,0.9937912003858052
0.0004615384615384,0.995855907656958
0.0009230769230769,0.9917313705762848
0.0011538461538461,0.9896764069061204
0.0013846153846153,0.9876262980783996
0.0018461538461538,0.9835405998889014
0.0016153846153846,0.9855810328214878
0.002076923076923,0.981504988059388
0.0025384615384615,0.9774481829498144
0.0023076923076923,0.9794741861367356
0.003,0.9734105282237028
0.0027692307692307,0.9754269673525466
0.0032307692307692,0.9713988544670016
0.0036923076923076,0.9673897588091096
0.0034615384615384,0.9693919350110348
0.0039230769230769,0.9653923148393332
0.0041538461538461,0.9633995921044414
0.0043846153846153,0.9614115796318584
0.0048461538461538,0.9574496417060424
0.0046153846153846,0.9594282664735664
0.005076923076923,0.9554756944303052
0.0053076923076923,0.9535064137717107
0.0055384615384615,0.9515417888800614
0.006,0.9476264631182888
0.0057692307692307,0.9495818089294809
0.0062307692307692,0.9456757406691028
0.0064615384615384,0.9437296308286478
0.0066923076923076,0.9417881228677888
0.0071538461538461,0.9379188697886408
0.0069230769230769,0.9398512060814908
0.0073846153846153,0.9359911033321602
0.0076153846153846,0.9340678960788956
0.0078461538461538,0.9321492374194628
0.0083076923076923,0.9283255235638858
0.008076923076923,0.9302351167683964
0.0085384615384615,0.926420447267906
0.0087692307692307,0.9245198773660795
0.009,0.9226238033675852
