Lambda,QPA_0
0.0,1.0
0.02564102564102564,0.976015625
0.05128205128205128,0.95212890625
0.07692307692307693,0.928486328125
0.10256410256410256,0.90529296875
0.1282051282051282,0.879736328125
0.15384615384615385,0.85603515625
0.1794871794871795,0.831201171875
0.20512820512820512,0.80947265625
0.23076923076923075,0.784169921875
0.2564102564102564,0.759755859375
0.28205128205128205,0.736005859375
0.3076923076923077,0.711806640625
0.3333333333333333,0.689326171875
0.358974358974359,0.661298828125
0.3846153846153846,0.639306640625
0.41025641025641024,0.615966796875
0.4358974358974359,0.5909765625
0.4615384615384615,0.565947265625
0.48717948717948717,0.54185546875
0.5128205128205128,0.520263671875
0.5384615384615384,0.4973828125
0.5641025641025641,0.470947265625
0.5897435897435898,0.445302734375
0.6153846153846154,0.42564453125
0.641025641025641,0.396455078125
0.6666666666666666,0.37494140625
0.6923076923076923,0.350537109375
0.717948717948718,0.327099609375
0.7435897435897436,0.300029296875
0.7692307692307692,0.279501953125
0.7948717948717948,0.25478515625
0.8205128205128205,0.231689453125
0.8461538461538461,0.20994140625
0.8717948717948718,0.182373046875
0.8974358974358974,0.157138671875
0.923076923076923,0.1337890625
0.9487179487179487,0.110087890625
0.9743589743589743,0.08771484375
1.0,0.06244140625
