lambda,fidelity
0.0,1.0
0.041666666666666664,0.9907500000000001
0.08333333333333333,0.98
0.125,0.9537499999999999
0.16666666666666666,0.9735
0.20833333333333331,0.94675
0.25,0.920875
0.29166666666666663,0.8987499999999997
0.3333333333333333,0.8739999999999999
0.375,0.8506250000000001
0.41666666666666663,0.79525
0.4583333333333333,0.7908750000000001
0.5,0.7428749999999998
0.5416666666666666,0.7193749999999999
0.5833333333333333,0.6709999999999999
0.625,0.6452500000000001
0.6666666666666666,0.59525
0.7083333333333333,0.548
0.75,0.515125
0.7916666666666666,0.46725
0.8333333333333333,0.42174999999999996
0.875,0.374125
0.9166666666666666,0.34325
0.9583333333333333,0.285375
1.0,0.2535
