lambda,fidelity
0.0,1.0
0.041666666666666664,0.9833799999999948
0.08333333333333333,0.9713799999999881
0.125,0.9927599999999791
0.16666666666666666,0.9889999999999698
0.20833333333333331,0.946559999999966
0.25,0.9441399999999546
0.29166666666666663,0.9067999999999504
0.3333333333333333,0.8538799999999488
0.375,0.8358999999999414
0.41666666666666663,0.8278599999999381
0.4583333333333333,0.7784999999999409
0.5,0.7545999999999441
0.5416666666666666,0.7052799999999494
0.5833333333333333,0.6714799999999517
0.625,0.6229799999999593
0.6666666666666666,0.604619999999966
0.7083333333333333,0.5383399999999826
0.75,0.5192599999999885
0.7916666666666666,0.4605599999999941
0.8333333333333333,0.4181999999999966
0.875,0.3767999999999997
0.9166666666666666,0.32788000000000445
0.9583333333333333,0.28562000000000887
1.0,0.2522400000000121
