lambda,fidelity
0.0,1.0
0.041666666666666664,0.99212
0.08333333333333333,0.98269
0.125,0.971175
0.16666666666666666,0.9569725
0.20833333333333331,0.9407125
0.25,0.9211025
0.29166666666666663,0.8991375
0.3333333333333333,0.8740175
0.375,0.8465875
0.41666666666666663,0.8161975
0.4583333333333333,0.785065
0.5,0.748405
0.5416666666666666,0.7100425
0.5833333333333333,0.6736375
0.625,0.634045
0.6666666666666666,0.5930825
0.7083333333333333,0.5489375
0.75,0.50616
0.7916666666666666,0.46263
0.8333333333333333,0.41832
0.875,0.3748875
0.9166666666666666,0.3317675
0.9583333333333333,0.2911475
1.0,0.2510975
