lambda,fidelity
0.0,1.0532142857142857
0.041666666666666664,1.0360714285714285
0.08333333333333333,1.0053571428571428
0.125,0.975
0.16666666666666666,0.9585714285714286
0.20833333333333331,0.9542857142857143
0.25,0.9157142857142857
0.29166666666666663,0.8696428571428572
0.3333333333333333,0.8542857142857142
0.375,0.8339285714285715
0.41666666666666663,0.7757142857142857
0.4583333333333333,0.7324999999999999
0.5,0.7067857142857144
0.5416666666666666,0.6707142857142857
0.5833333333333333,0.6553571428571427
0.625,0.6082142857142858
0.6666666666666666,0.5671428571428572
0.7083333333333333,0.5060714285714286
0.75,0.47178571428571425
0.7916666666666666,0.42214285714285715
0.8333333333333333,0.3917857142857143
0.875,0.3557142857142857
0.9166666666666666,0.32142857142857145
0.9583333333333333,0.2935714285714286
1.0,0.265
