lambda,fidelity
0.0,1.0
0.041666666666666664,0.99025
0.08333333333333333,0.968375
0.125,0.9535
0.16666666666666666,0.94075
0.20833333333333331,0.901125
0.25,0.901375
0.29166666666666663,0.8470000000000001
0.3333333333333333,0.8273750000000001
0.375,0.778875
0.41666666666666663,0.773125
0.4583333333333333,0.724125
0.5,0.7026249999999999
0.5416666666666666,0.666625
0.5833333333333333,0.63375
0.625,0.5954999999999999
0.6666666666666666,0.550625
0.7083333333333333,0.5165000000000001
0.75,0.47012499999999996
0.7916666666666666,0.43825000000000003
0.8333333333333333,0.39337500000000003
0.875,0.36175
0.9166666666666666,0.313125
0.9583333333333333,0.29275
1.0,0.24862499999999998
