lambda,fidelity
0.0,1.0
0.041666666666666664,0.993375
0.08333333333333333,0.9674999999999999
0.125,0.9612499999999999
0.16666666666666666,0.941125
0.20833333333333331,0.91
0.25,0.89025
0.29166666666666663,0.8567499999999999
0.3333333333333333,0.841
0.375,0.80025
0.41666666666666663,0.775875
0.4583333333333333,0.74025
0.5,0.719
0.5416666666666666,0.66425
0.5833333333333333,0.630125
0.625,0.593875
0.6666666666666666,0.54875
0.7083333333333333,0.508
0.75,0.47875
0.7916666666666666,0.443875
0.8333333333333333,0.39874999999999994
0.875,0.365
0.9166666666666666,0.314625
0.9583333333333333,0.283125
1.0,0.248625
