lambda,fidelity,error
0.25,0.8172083333333333,0.0051222533299036385
0.3,0.7906249999999999,0.009130205867322352
0.5,0.6737916666666667,0.005609953316030712
0.75,0.4744583333333333,0.005255122962946325
