lambda,QPA_3
0.0,0.8973409090909096
0.0526315789473684,0.8762954545454552
0.1052631578947368,0.8636590909090914
0.1578947368421052,0.8520681818181823
0.2105263157894736,0.8350909090909097
0.2631578947368421,0.8047954545454551
0.3157894736842105,0.7783181818181825
0.3684210526315789,0.7461818181818188
0.4210526315789473,0.7036136363636368
0.4736842105263157,0.675295454545455
0.5263157894736842,0.6358636363636369
0.5789473684210527,0.5966818181818186
0.631578947368421,0.5633181818181822
0.6842105263157894,0.5210000000000004
0.7368421052631579,0.47275000000000034
0.7894736842105263,0.42931818181818215
0.8421052631578947,0.38822727272727303
0.894736842105263,0.34858536585365874
0.9473684210526316,0.3071818181818184
1.0,0.2633863636363638
