lambda,QPA_0
0.0,1.0
0.0526315789473684,0.9604666666666667
0.1052631578947368,0.9202888888888889
0.1578947368421052,0.8819666666666667
0.2105263157894736,0.8402555555555556
0.2631578947368421,0.8016888888888888
0.3157894736842105,0.7649222222222222
0.3684210526315789,0.7239
0.4210526315789473,0.6851333333333334
0.4736842105263157,0.6457444444444445
0.5263157894736842,0.6054222222222222
0.5789473684210527,0.5660555555555555
0.631578947368421,0.5248444444444444
0.6842105263157894,0.4862333333333333
0.7368421052631579,0.4475888888888888
0.7894736842105263,0.4071777777777777
0.8421052631578947,0.3697444444444444
0.894736842105263,0.32816666666666666
0.9473684210526316,0.2884777777777778
1.0,0.24926666666666664
