Lambda,QPA_1
0.0,1.0
0.02564102564102564,0.987353515625
0.05128205128205128,0.973232421875
0.07692307692307693,0.958603515625
0.10256410256410256,0.942490234375
0.1282051282051282,0.9254296875
0.15384615384615385,0.908271484375
0.1794871794871795,0.889697265625
0.20512820512820512,0.8700390625
0.23076923076923075,0.847861328125
0.2564102564102564,0.828232421875
0.28205128205128205,0.805830078125
0.3076923076923077,0.781728515625
0.3333333333333333,0.759296875
0.358974358974359,0.7366796875
0.3846153846153846,0.711708984375
0.41025641025641024,0.68521484375
0.4358974358974359,0.6621875
0.4615384615384615,0.634365234375
0.48717948717948717,0.6053125
0.5128205128205128,0.579091796875
0.5384615384615384,0.5531640625
0.5641025641025641,0.525087890625
0.5897435897435898,0.499755859375
0.6153846153846154,0.468603515625
0.641025641025641,0.44357421875
0.6666666666666666,0.416689453125
0.6923076923076923,0.386357421875
0.717948717948718,0.358896484375
0.7435897435897436,0.329716796875
0.7692307692307692,0.301171875
0.7948717948717948,0.27623046875
0.8205128205128205,0.248291015625
0.8461538461538461,0.217900390625
0.8717948717948718,0.19296875
0.8974358974358974,0.1669140625
0.923076923076923,0.139873046875
0.9487179487179487,0.11267578125
0.9743589743589743,0.08685546875
1.0,0.062158203125
