Lambda,QPA_2
0.0,1.0
0.0256410256410256,0.989765625
0.0512820512820512,0.97841796875
0.0769230769230769,0.965595703125
0.1025641025641025,0.95103515625
0.1282051282051282,0.935400390625
0.1538461538461538,0.918095703125
0.1794871794871795,0.8995703125
0.2051282051282051,0.880205078125
0.2307692307692307,0.859609375
0.2564102564102564,0.836953125
0.282051282051282,0.816201171875
0.3076923076923077,0.79515625
0.3333333333333333,0.767626953125
0.358974358974359,0.743427734375
0.3846153846153846,0.718701171875
0.4102564102564102,0.690654296875
0.4358974358974359,0.66396484375
0.4615384615384615,0.63802734375
0.4871794871794871,0.611103515625
0.5128205128205128,0.580537109375
0.5384615384615384,0.548525390625
0.5641025641025641,0.52009765625
0.5897435897435898,0.49376953125
0.6153846153846154,0.463134765625
0.641025641025641,0.430556640625
0.6666666666666666,0.402412109375
0.6923076923076923,0.37529296875
0.717948717948718,0.342958984375
0.7435897435897436,0.3120703125
0.7692307692307692,0.281875
0.7948717948717948,0.252578125
0.8205128205128205,0.2223828125
0.8461538461538461,0.194296875
0.8717948717948718,0.16623046875
0.8974358974358974,0.1360546875
0.923076923076923,0.10888671875
0.9487179487179488,0.082509765625
0.9743589743589745,0.0573046875
1.0,0.031650390625
