lambda,QPA_3
0.0,0.9340526225
0.0526315789473684,0.9202736675000001
0.1052631578947368,0.9039556757544832
0.1578947368421052,0.8860582725
0.2105263157894736,0.8561892975
0.2631578947368421,0.8304840137499999
0.3157894736842105,0.8022894875000001
0.3684210526315789,0.7673001187499999
0.4210526315789473,0.7312215400000001
0.4736842105263157,0.68975745625
0.5263157894736842,0.6548740375
0.5789473684210527,0.61198432125
0.631578947368421,0.56904726625
0.6842105263157894,0.5220476425
0.7368421052631579,0.47782127374999994
0.7894736842105263,0.43196296125
0.8421052631578947,0.3885557267823298
0.894736842105263,0.34360513
0.9473684210526316,0.29689994375
1.0,0.2535420775
