lambda,QPA_1
0.0,1.0
0.2499999999999999,0.8723
0.2749999999999999,0.8523
0.3,0.8357
0.3249999999999999,0.8219
0.35,0.8074
0.3749999999999999,0.7783
0.3999999999999999,0.7673
0.425,0.7437
0.4499999999999999,0.7194
0.475,0.7034
0.0249999999999999,0.9902
0.4999999999999999,0.6842
0.5249999999999999,0.6672
0.5499999999999999,0.6408
0.575,0.6228
0.6,0.6042
0.0499999999999999,0.9782
0.075,0.9666
0.0999999999999999,0.9593
0.1249999999999999,0.9456
0.15,0.9321
0.175,0.9141
0.1999999999999999,0.9002
0.2249999999999999,0.8859
