lambda,QPA_1
0.0,0.9787000000000001
0.0526315789473684,0.9625000000000005
0.1052631578947368,0.9331999999999986
0.1578947368421052,0.9094666666666649
0.2105263157894736,0.8775666666666637
0.2631578947368421,0.8494999999999961
0.3157894736842105,0.8152999999999957
0.3684210526315789,0.7770333333333295
0.4210526315789473,0.7301333333333297
0.4736842105263157,0.6906666666666642
0.5263157894736842,0.6547333333333318
0.5789473684210527,0.6119666666666662
0.631578947368421,0.5648333333333331
0.6842105263157894,0.5237999999999997
0.7368421052631579,0.47856666666666725
0.7894736842105263,0.4394999999999989
0.8421052631578947,0.3836666666666656
0.894736842105263,0.3409999999999992
0.9473684210526316,0.2946666666666662
1.0,0.24733333333333318
