epsilon,steps,fidelity,shots
0.0,2,0.9999999999999036,30000
0.0,4,1.0000000000000129,30000
0.0,6,1.0000000000000004,30000
0.0,8,0.9999999999999594,30000
0.0,10,0.9999999999999638,30000
0.0,12,0.9999999999999888,30000
0.0,14,0.999999999999988,30000
0.0,16,0.9999999999999676,30000
0.0,18,1.0000000000000129,30000
0.0,20,1.0000000000000482,30000
0.0005,2,0.9889176325683544,30000
0.0005,4,0.9824964529593904,30000
0.0005,6,0.9780275049996516,30000
0.0005,8,0.9739615867148584,30000
0.0005,10,0.9704337045911088,30000
0.0005,12,0.9648959284736348,30000
0.0005,14,0.9601078361157096,30000
0.0005,16,0.9553381542694775,30000
0.0005,18,0.9508224536833748,30000
0.0005,20,0.9461907634841688,30000
0.001,2,0.9779560353997088,30000
0.001,4,0.9680832154538976,30000
0.001,6,0.9578337653304908,30000
0.001,8,0.9460657413872134,30000
0.001,10,0.9374018463881753,30000
0.001,12,0.9279032336049716,30000
0.001,14,0.9185468461023448,30000
0.001,16,0.907774033162924,30000
0.001,18,0.8992003703491328,30000
0.001,20,0.8894146072889757,30000
0.0015,2,0.9646868892427828,30000
0.0015,4,0.9499325208779298,30000
0.0015,6,0.9343814710438328,30000
0.0015,8,0.9204895764251751,30000
0.0015,10,0.9057558908991392,30000
0.0015,12,0.8936136429324876,30000
0.0015,14,0.8773321950348812,30000
0.0015,16,0.8611163006936745,30000
0.0015,18,0.8471041155562993,30000
0.0015,20,0.8290970369306092,30000
0.002,2,0.9536550240547412,30000
0.002,4,0.9340470085811204,30000
0.002,6,0.9139674680815096,30000
0.002,8,0.8920045918089573,30000
0.002,10,0.871841066839197,30000
0.002,12,0.8520807636414012,30000
0.002,14,0.8322150573857766,30000
0.002,16,0.8135957810871584,30000
0.002,18,0.7906656154724387,30000
0.002,20,0.7708710991486052,30000
0.0025,2,0.9416438776074532,30000
0.0025,4,0.912948417300895,30000
0.0025,6,0.8893499289727136,30000
0.0025,8,0.8642812299552842,30000
0.0025,10,0.8384214410559611,30000
0.0025,12,0.8100217811123416,30000
0.0025,14,0.7896479244113686,30000
0.0025,16,0.76018973617795,30000
0.0025,18,0.7422694055849757,30000
0.0025,20,0.7193013929696912,30000
0.003,2,0.9291645581966697,30000
0.003,4,0.8962312882171448,30000
0.003,6,0.8669007096759697,30000
0.003,8,0.8347581688866731,30000
0.003,10,0.8061945474029171,30000
0.003,12,0.7742398568510848,30000
0.003,14,0.7483065796859524,30000
0.003,16,0.7186206301922978,30000
0.003,18,0.6891897220002254,30000
0.003,20,0.6589072482274433,30000
0.0035,2,0.9167210450980424,30000
0.0035,4,0.8830802926431602,30000
0.0035,6,0.8427110280491537,30000
0.0035,8,0.8084360118030051,30000
0.0035,10,0.7739171506254306,30000
0.0035,12,0.7367361523636001,30000
0.0035,14,0.7057100810221442,30000
0.0035,16,0.6728717481192343,30000
0.0035,18,0.6442744530655303,30000
0.0035,20,0.6151776463733462,30000
0.004,2,0.9065521056374948,30000
0.004,4,0.8585392197952088,30000
0.004,6,0.8200377942458793,30000
0.004,8,0.7801020092743923,30000
0.004,10,0.7394354713766583,30000
0.004,12,0.6983662724243953,30000
0.004,14,0.6676898257421165,30000
0.004,16,0.6347918014596439,30000
0.004,18,0.5993181853137556,30000
0.004,20,0.5676450365229261,30000
0.0045,2,0.8900781496430875,30000
0.0045,4,0.8414536056538708,30000
0.0045,6,0.7964818325285035,30000
0.0045,8,0.7520548630101631,30000
0.0045,10,0.7086529311378524,30000
0.0045,12,0.6660018608212754,30000
0.0045,14,0.62893104301489,30000
0.0045,16,0.5936975172835606,30000
0.0045,18,0.5575211721636681,30000
0.0045,20,0.5311430462614772,30000
0.005,2,0.88032181739375,30000
0.005,4,0.8245326108734599,30000
0.005,6,0.7713720438568641,30000
0.005,8,0.7262786159941855,30000
0.005,10,0.6755536820497918,30000
0.005,12,0.6341446213126439,30000
0.005,14,0.595924070450259,30000
0.005,16,0.5593861018682614,30000
0.005,18,0.522357739203671,30000
0.005,20,0.4971581754152618,30000
