lambda,fidelity_n5
0.0,1.0
0.041666666666666664,0.99224
0.08333333333333333,0.98237
0.125,0.96976
0.16666666666666666,0.9541
0.20833333333333331,0.93624
0.25,0.91378
0.29166666666666663,0.89114
0.3333333333333333,0.86667
0.375,0.83686
0.41666666666666663,0.8063
0.4583333333333333,0.77391
0.5,0.73898
0.5416666666666666,0.70213
0.5833333333333333,0.66289
0.625,0.62334
0.6666666666666666,0.58313
0.7083333333333333,0.5414
0.75,0.49769
0.7916666666666666,0.45631
0.8333333333333333,0.4141
0.875,0.3694
0.9166666666666666,0.33037
0.9583333333333333,0.28815
1.0,0.24978
