lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.98826
0.08333333333333333,0.97349
0.125,0.95605
0.16666666666666666,0.93484
0.20833333333333331,0.91329
0.25,0.89027
0.29166666666666663,0.86259
0.3333333333333333,0.83488
0.375,0.80288
0.41666666666666663,0.76948
0.4583333333333333,0.73519
0.5,0.70367
0.5416666666666666,0.66655
0.5833333333333333,0.63134
0.625,0.59668
0.6666666666666666,0.5533
0.7083333333333333,0.51712
0.75,0.47618
0.7916666666666666,0.44005
0.8333333333333333,0.39854
0.875,0.36071
0.9166666666666666,0.32444
0.9583333333333333,0.28781
1.0,0.25176
