lambda,fidelity
0.0,1.0
0.041666666666666664,0.9862500000000002
0.08333333333333333,0.9780000000000002
0.125,0.9587499999999999
0.16666666666666666,0.9563749999999999
0.20833333333333331,0.959125
0.25,0.9388749999999999
0.29166666666666663,0.9266249999999997
0.3333333333333333,0.9052499999999994
0.375,0.8757500000000001
0.41666666666666663,0.8496250000000001
0.4583333333333333,0.8049999999999997
0.5,0.782
0.5416666666666666,0.7242500000000001
0.5833333333333333,0.685625
0.625,0.6593749999999998
0.6666666666666666,0.6283749999999999
0.7083333333333333,0.5817500000000001
0.75,0.5083749999999998
0.7916666666666666,0.480625
0.8333333333333333,0.43149999999999994
0.875,0.38812499999999994
0.9166666666666666,0.33999999999999997
0.9583333333333333,0.28225
1.0,0.239625
