lambda,fidelity
0.0,0.9969318181818191
0.0526315789473684,0.9606818181818191
0.1052631578947368,0.9222954545454555
0.1578947368421052,0.8834090909090916
0.2105263157894736,0.848022727272728
0.2631578947368421,0.8046363636363643
0.3157894736842105,0.7666136363636369
0.3684210526315789,0.7286363636363641
0.4210526315789473,0.6890000000000005
0.4736842105263157,0.6512272727272732
0.5263157894736842,0.6092272727272732
0.5789473684210527,0.5693181818181823
0.631578947368421,0.5323636363636367
0.6842105263157894,0.49177272727272764
0.7368421052631579,0.45015909090909123
0.7894736842105263,0.4105454545454548
0.8421052631578947,0.3740930232558142
0.894736842105263,0.3352142857142859
0.9473684210526316,0.29581818181818204
1.0,0.2529545454545456
