lambda,fidelity_n3
0.0,1.0
0.041666666666666664,0.99228
0.08333333333333333,0.98207
0.125,0.97094
0.16666666666666666,0.95837
0.20833333333333331,0.94481
0.25,0.92881
0.29166666666666663,0.91218
0.3333333333333333,0.89529
0.375,0.87445
0.41666666666666663,0.85568
0.4583333333333333,0.83464
0.5,0.81139
0.5416666666666666,0.7884
0.5833333333333333,0.76538
0.625,0.73834
0.6666666666666666,0.71707
0.7083333333333333,0.69107
0.75,0.66418
0.7916666666666666,0.63447
0.8333333333333333,0.61008
0.875,0.58546
0.9166666666666666,0.55174
0.9583333333333333,0.527
1.0,0.49718
