lambda,fidelity_n5
0.0,1.0
0.041666666666666664,0.9947
0.08333333333333333,0.98875
0.125,0.98082
0.16666666666666666,0.9717
0.20833333333333331,0.95972
0.25,0.94824
0.29166666666666663,0.93422
0.3333333333333333,0.91792
0.375,0.90263
0.41666666666666663,0.88243
0.4583333333333333,0.86271
0.5,0.84264
0.5416666666666666,0.8165
0.5833333333333333,0.79086
0.625,0.76842
0.6666666666666666,0.74011
0.7083333333333333,0.71088
0.75,0.68458
0.7916666666666666,0.65496
0.8333333333333333,0.62298
0.875,0.59398
0.9166666666666666,0.56569
0.9583333333333333,0.53211
1.0,0.50189
