lambda,fidelity_n7
0.0,1.0
0.041666666666666664,0.99605
0.08333333333333333,0.99106
0.125,0.98441
0.16666666666666666,0.97742
0.20833333333333331,0.97008
0.25,0.96023
0.29166666666666663,0.94821
0.3333333333333333,0.93569
0.375,0.92212
0.41666666666666663,0.90591
0.4583333333333333,0.88622
0.5,0.86623
0.5416666666666666,0.84369
0.5833333333333333,0.82046
0.625,0.79277
0.6666666666666666,0.76672
0.7083333333333333,0.73629
0.75,0.70679
0.7916666666666666,0.67442
0.8333333333333333,0.64104
0.875,0.60529
0.9166666666666666,0.57353
0.9583333333333333,0.53537
1.0,0.49967
